Site,Strata,Months,Date,Araneae,Coleoptera,Diptera,Hemiptera,Hymenoptera,Mantophasmatodea,Unidentified 1,Unidentified 4,Unidentified 5
2007,J,Sep,16-Sep,0,0,4,0,0,0,0,0,0
2007,J,Sep,30-Sep,0,0,33,0,0,1,0,0,0
2007,J,Oct,6-Oct,0,0,2,0,0,0,0,0,1
2007,J,Oct,14-Oct,0,0,9,0,0,0,0,0,0
2007,NC,Sep,16-Sep,0,0,0,1,0,1,0,0,0
2007,NC,Sep,23-Sep,0,2,7,0,0,0,0,0,0
2007,NC,Oct,6-Oct,1,0,7,1,0,0,1,0,0
2007,NC,Oct,14-Oct,1,0,6,0,0,0,0,0,0
2013,HP,Sep,16-Sep,0,0,14,1,0,0,0,0,0
2013,HP,Sep,23-Sep,0,0,11,0,0,0,0,0,0
2013,HP,Sep,30-Sep,0,0,1,0,0,0,0,0,0
2013,HP,Oct,6-Oct,0,0,17,0,0,0,0,0,0
2013,HP,Oct,14-Oct,0,0,7,0,0,0,0,0,0
2013,HP,Sep,30-Sep,0,0,6,0,0,0,0,0,0
2013,HP,Oct,6-Oct,0,0,17,0,0,0,0,0,0
2013,HP,Oct,14-Oct,0,0,6,0,0,0,0,0,0
2015,J,Sep,16-Sep,0,0,2,0,0,0,0,0,0
2015,J,Sep,23-Sep,1,0,2,0,0,0,0,0,0
2015,J,Sep,30-Sep,2,0,2,0,0,0,0,0,0
2015,J,Oct,6-Oct,0,0,1,0,0,0,0,1,0
2015,J,Oct,14-Oct,1,0,5,0,0,0,0,0,0
2015,NC,Sep,23-Sep,0,0,9,2,1,0,0,0,0
2015,NC,Sep,30-Sep,1,0,11,2,0,2,0,0,0
2015,NC,Oct,6-Oct,0,0,1,1,0,0,0,0,0
2015,NC,Oct,14-Oct,0,0,3,0,0,0,0,0,0
