Site,Strata,Months,Date,Araneae,Coleoptera,Diptera,Hemiptera,Hymenoptera,Lepidoptera,Unidentified 1,Unidentified 3
2007,J,Sep,16-Sep,0,0,0,0,0,0,0,0
2007,J,Sep,23-Sep,0,0,0,0,0,0,0,0
2007,J,Sep,30-Sep,0,0,0,0,0,0,0,0
2007,J,Oct,6-Oct,0,1,0,3,0,0,0,0
2007,J,Oct,14-Oct,0,0,0,0,1,0,0,0
2007,NC,Sep,16-Sep,0,0,0,0,0,0,0,0
2007,NC,Sep,23-Sep,0,2,0,4,0,1,0,0
2007,NC,Sep,30-Sep,1,0,0,2,0,0,0,0
2007,NC,Oct,6-Oct,0,0,1,0,0,0,0,0
2007,NC,Oct,14-Oct,0,0,0,1,0,0,0,0
2013,HP,Oct,14-Oct,0,0,1,0,0,0,0,0
2013,HP,Sep,30-Sep,0,0,0,1,0,0,0,0
2013,HP,Sep,23-Sep,0,0,0,0,1,0,0,0
2013,HP,Sep,16-Sep,0,0,0,0,0,0,0,0
2013,HP,Oct,6-Oct,0,0,0,0,0,0,0,0
2015,J,Sep,16-Sep,0,9,1,0,0,0,0,0
2015,J,Sep,23-Sep,0,0,0,0,0,0,0,0
2015,J,Sep,30-Sep,0,0,0,0,0,0,0,0
2015,J,Oct,6-Oct,0,0,0,0,0,0,0,0
2015,J,Oct,14-Oct,0,0,0,0,0,0,0,0
2015,NC,Sep,16-Sep,3,9,0,0,0,0,1,0
2015,NC,Sep,23-Sep,1,2,0,0,0,0,0,0
2015,NC,Sep,30-Sep,1,2,0,1,0,0,0,0
2015,NC,Oct,6-Oct,2,4,0,0,0,0,0,2
2015,NC,Oct,14-Oct,1,1,1,0,0,0,0,0
